,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
355230,2,2,1,1,2,1,1,2,1,2,1,1
520421,4,3,2,4,4,4,4,3,3,3,1,3
555912,4,3,2,4,4,4,4,3,3,3,1,3
187773,5,5,2,4,4,4,4,3,3,3,1,3
565917,4,3,2,3,3,3,4,3,4,2,1,2
560260,3,4,2,3,3,3,3,3,3,3,1,2
472297,4,5,2,4,3,4,4,4,5,4,3,3
36564,4,2,2,2,2,3,3,3,1,2,2,1
417340,4,3,2,4,3,4,4,3,4,3,1,3
65766,5,4,2,4,3,4,4,3,3,3,1,2
265736,4,3,2,3,3,3,4,3,3,2,1,2
53575,4,4,2,4,3,3,4,3,4,3,2,2
225368,3,3,2,3,2,3,3,3,3,2,1,2
298647,3,3,2,2,2,2,2,1,3,2,1,1
362535,3,3,2,2,3,3,3,3,3,2,1,2
71877,4,2,2,3,3,3,3,3,3,2,2,1
520377,5,4,3,4,3,4,4,3,5,4,2,2
594204,5,4,3,4,3,3,4,3,4,3,2,2
255025,3,2,2,2,2,1,3,1,3,2,1,1
175578,3,3,2,4,3,3,3,3,3,3,1,2
94625,5,5,2,4,4,4,4,4,4,3,1,3
313957,4,4,2,3,3,3,4,3,4,2,2,2
575543,4,3,2,4,3,3,4,3,3,3,1,2
259450,5,5,2,5,4,4,4,4,5,4,3,3
462066,1,2,1,0,2,0,3,1,2,2,1,1
558893,5,4,2,4,3,3,3,2,3,2,2,2
484609,3,3,2,3,2,3,3,3,3,2,1,2
423023,2,2,2,1,2,1,2,1,3,2,1,1
422874,4,5,2,4,3,4,4,4,5,4,3,3
572807,3,2,2,1,2,2,2,2,3,2,1,2
402536,3,3,2,2,2,3,3,2,3,2,1,2
136697,4,3,2,4,3,3,3,3,3,3,1,2
46868,3,3,2,3,3,3,3,3,3,2,1,2
407947,2,2,1,0,2,1,2,1,2,2,1,1
324506,4,5,2,4,3,4,4,4,5,4,3,3
370524,5,5,2,4,4,4,4,4,5,4,3,3
432816,4,4,2,2,2,3,3,2,3,2,2,2
429438,3,3,2,2,2,3,3,3,3,2,1,2
590360,5,5,3,4,3,4,5,4,5,4,2,3
345185,4,2,2,3,3,3,3,2,3,2,2,1
364217,2,2,2,1,2,1,2,2,3,2,1,1
420585,4,4,2,3,3,3,3,3,4,3,2,2
532031,5,5,2,4,3,4,4,4,4,3,4,3
580651,3,3,2,2,2,2,3,2,3,2,1,2
453383,4,4,2,3,3,3,3,3,4,3,2,2
249566,3,3,2,3,2,3,3,3,3,2,1,2
462188,1,1,0,0,1,1,1,1,1,1,1,0
394975,1,2,1,1,2,1,1,0,2,2,1,1
253500,3,3,2,3,2,3,3,3,3,2,1,1
402224,1,1,1,1,1,0,1,1,0,0,1,0
396794,4,4,2,3,3,3,4,4,5,4,2,2
399475,4,4,2,3,3,3,4,3,4,4,2,2
138002,4,5,2,4,4,3,4,4,4,3,1,3
199051,5,5,2,4,3,4,4,4,4,3,2,3
536061,2,2,1,1,2,1,2,1,3,2,1,1
44658,5,5,3,4,3,4,4,4,5,4,3,3
460347,5,5,2,5,4,4,4,4,5,4,3,3
237768,5,5,2,4,4,4,4,4,4,3,4,4
318762,5,5,2,4,3,4,4,4,4,3,1,3
28505,1,1,1,1,0,1,1,1,1,2,1,1
53502,1,0,1,0,1,1,1,1,2,2,1,1
525559,4,3,2,4,4,4,4,4,4,3,1,3
184093,1,1,0,0,0,1,1,1,1,2,1,1
44246,4,4,2,3,3,3,3,3,4,3,2,2
547236,2,2,2,2,2,1,2,1,3,2,1,1
364947,3,3,2,2,2,3,3,3,3,2,1,2
443357,5,5,2,4,3,4,4,4,5,4,2,3
397093,2,1,1,0,2,1,2,1,1,2,1,1
314743,2,2,1,1,2,3,1,1,2,2,1,1
468045,5,4,3,4,3,3,5,3,4,3,2,2
196668,4,4,3,4,3,3,4,4,4,3,2,3
82201,3,2,2,3,2,3,1,2,3,2,1,1
129152,4,3,2,3,3,3,4,3,3,3,1,2
205999,2,2,1,0,0,1,2,1,2,2,1,1
15341,4,4,2,4,3,4,4,3,4,3,2,3
359540,5,5,2,4,4,4,4,4,4,4,4,3
539215,3,3,2,1,2,3,1,2,3,2,0,1
278472,1,1,1,1,1,1,1,1,1,2,1,0
253219,5,5,2,4,3,4,4,4,4,3,2,3
333466,4,4,2,3,3,3,4,3,4,2,2,2
511593,4,4,2,2,2,3,3,2,3,3,2,2
160985,4,5,2,5,3,4,4,4,4,4,3,3
527096,5,5,3,4,3,4,4,4,5,4,3,3
280790,3,2,2,1,2,1,2,2,3,2,1,1
178029,4,3,2,4,4,4,4,3,4,3,1,3
534577,3,3,2,3,3,3,3,3,3,2,1,2
149898,4,5,2,5,4,5,4,4,5,4,3,3
480670,4,4,2,4,3,4,4,3,3,3,1,2
584962,5,5,3,5,3,4,4,4,5,4,3,3
249315,3,3,2,2,2,3,3,1,3,2,1,1
576530,4,4,2,4,3,3,4,4,4,3,2,3
590950,5,4,2,4,3,4,4,3,4,3,2,2
289465,3,3,2,2,2,2,2,2,3,2,1,2
375652,5,4,2,4,3,3,3,3,3,2,1,2
550111,4,3,2,4,4,4,4,3,3,3,1,3
48749,4,2,2,3,2,2,3,3,1,3,2,2
339462,3,3,2,1,2,2,2,2,3,2,1,2
362289,2,2,1,0,2,1,1,0,2,2,1,1
562373,2,2,1,1,0,1,0,1,3,0,0,1
226007,4,3,2,3,2,3,4,3,3,2,1,2
472497,4,4,2,3,3,3,4,3,4,3,2,2
99625,5,4,3,4,3,4,4,3,5,4,2,2
566149,3,3,2,2,2,3,3,2,3,3,1,2
524407,5,5,3,4,3,4,4,3,4,3,2,2
249110,4,4,2,3,3,3,4,3,4,3,2,2
477754,5,4,2,4,3,3,4,2,3,2,4,2
9134,3,3,2,2,2,3,3,2,3,2,1,1
83708,1,2,1,1,2,1,1,0,2,2,1,1
287854,4,4,2,3,3,3,3,3,3,2,2,2
127035,4,3,2,4,3,3,4,3,3,3,1,3
191015,3,3,2,2,2,2,3,2,3,2,1,2
395075,4,4,2,3,3,3,3,3,3,3,1,2
543546,5,5,3,4,3,4,5,4,5,4,4,4
401739,3,2,2,2,2,3,3,1,3,2,1,1
100810,2,2,1,1,0,1,2,1,2,2,1,1
255009,4,4,2,3,3,3,3,3,4,3,2,2
513159,5,5,3,5,4,4,4,4,5,4,3,3
296854,5,4,2,4,3,3,4,3,3,2,2,2
317857,3,3,2,2,2,3,3,2,3,2,1,2
242135,3,3,2,3,3,3,3,3,3,3,1,2
227320,4,4,2,3,3,3,4,3,4,3,2,2
538207,4,3,2,4,3,4,4,3,3,3,1,2
182223,2,3,2,2,2,2,2,2,3,2,1,2
568524,2,2,2,2,2,3,3,1,2,2,1,1
21918,1,0,1,0,0,1,2,1,2,0,1,1
244965,4,3,2,3,3,3,4,3,4,3,1,2
