,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
512467,4,5,2,4,3,4,4,4,5,4,3,3
6130,5,5,2,5,3,5,4,4,5,4,3,3
394528,4,4,2,3,3,3,4,3,3,2,1,2
280572,2,2,1,2,2,1,1,1,1,2,1,1
170983,4,2,2,3,3,3,4,3,4,2,1,1
570736,3,2,2,2,2,3,3,1,2,2,1,1
377466,5,4,2,4,3,3,4,3,4,3,2,2
217944,4,4,2,3,3,3,4,3,4,3,2,2
557173,5,5,2,4,3,4,4,3,4,3,2,3
390514,1,2,1,0,0,1,3,0,2,2,1,1
253505,3,3,2,3,3,3,4,3,3,2,1,2
416521,2,2,1,1,2,1,2,1,3,2,1,1
326053,3,4,2,1,2,2,2,2,3,3,2,2
42375,4,4,2,3,3,4,4,4,4,4,3,3
523591,3,2,2,2,2,2,2,1,3,2,1,1
53780,2,2,1,1,2,1,2,1,3,2,1,1
576889,5,5,2,4,4,4,4,3,3,3,4,4
381182,4,5,2,5,3,4,4,4,5,4,3,3
486909,4,4,2,3,3,3,4,3,5,4,2,2
166123,5,5,2,4,4,4,4,3,4,3,1,3
597148,5,5,2,4,4,4,4,4,3,3,4,3
179412,3,2,2,2,2,3,3,1,3,2,1,1
154722,4,4,2,4,3,3,4,3,4,3,1,3
270512,2,2,1,0,2,1,2,1,2,2,1,1
415630,3,3,2,1,2,3,1,2,3,2,1,1
495642,2,3,2,0,2,3,1,2,2,2,1,1
209467,4,3,2,3,3,3,4,3,4,3,2,2
368987,4,3,2,3,3,3,4,3,4,3,2,2
592783,5,4,3,4,3,4,4,3,5,3,2,2
152112,2,2,2,1,2,1,2,2,3,2,1,2
357958,2,1,1,1,1,1,1,0,1,2,1,1
368980,3,3,2,1,2,2,2,2,3,2,1,1
468269,5,5,2,4,3,4,4,3,4,3,2,3
314078,5,4,2,4,3,3,3,2,3,2,2,2
296321,4,5,2,4,3,4,4,4,5,4,3,3
597389,5,5,2,4,3,4,4,4,5,4,2,3
228143,3,2,1,2,2,3,3,1,2,2,1,1
576774,5,4,2,2,3,3,3,2,3,2,1,2
317115,4,4,2,2,3,3,3,3,3,3,1,2
32854,5,5,2,4,4,4,4,3,3,3,1,3
273674,4,3,2,3,3,3,3,3,3,3,1,3
252738,3,2,2,2,2,0,3,1,2,2,1,1
491099,5,4,2,4,3,3,3,3,4,3,2,2
277188,1,0,1,0,0,1,2,1,2,2,1,1
300706,2,2,1,0,2,1,2,1,1,2,1,1
388836,4,4,2,3,3,3,4,3,4,3,2,2
484982,4,3,2,3,3,3,4,3,3,3,1,2
226012,4,5,2,5,3,4,4,4,5,4,3,3
73281,3,3,2,2,2,3,3,3,3,2,1,1
267634,1,2,1,2,2,1,3,1,1,2,1,1
139748,5,4,3,4,3,4,4,3,5,3,2,2
63655,2,2,1,1,2,1,2,2,1,2,2,1
68435,5,4,2,4,3,3,4,3,4,3,1,2
280878,3,4,2,1,2,3,1,2,3,2,2,1
305265,3,3,2,2,3,3,3,3,3,3,1,2
318532,4,3,2,3,3,3,4,3,3,3,1,2
268215,4,4,2,4,3,3,4,4,4,3,2,3
403813,2,1,1,1,0,1,2,1,2,2,1,1
44913,5,4,3,4,3,4,4,4,5,4,2,2
367709,2,2,1,1,2,1,2,1,2,2,1,1
277774,3,3,2,2,2,2,3,3,3,2,1,2
270796,2,1,1,1,1,1,1,1,1,2,1,1
531975,3,3,2,1,2,2,2,2,3,2,1,2
282685,3,3,2,3,3,3,3,3,3,3,1,2
302168,5,4,2,4,3,3,4,3,3,3,1,3
171277,1,1,1,0,1,1,2,1,1,1,1,1
590455,5,4,2,4,3,4,4,3,4,3,1,3
258287,5,5,3,4,3,4,4,4,5,4,2,3
405419,4,4,2,4,3,3,3,3,3,3,1,2
282266,2,2,1,1,0,1,2,1,2,2,1,1
66805,5,4,3,4,3,4,4,3,5,3,2,2
568121,3,2,2,3,3,3,3,3,3,2,1,1
335293,4,5,2,4,4,4,4,4,4,4,1,3
429777,4,2,2,3,3,3,3,3,4,2,1,1
150419,4,4,2,4,3,3,4,3,4,3,2,2
404219,3,3,2,3,3,3,3,3,3,2,1,2
534307,1,2,1,1,0,0,1,0,2,2,1,1
541707,3,2,2,2,2,1,3,1,3,2,1,1
173523,4,2,2,3,2,3,3,3,1,2,2,1
328636,4,3,2,3,3,3,3,3,3,3,1,2
23327,4,3,2,3,3,3,4,3,3,2,1,2
31544,5,4,2,4,3,3,3,3,4,3,2,2
118538,4,3,2,4,3,3,4,3,3,3,1,3
394053,5,4,3,4,3,3,3,3,5,3,2,2
42960,5,5,2,4,4,4,4,3,3,3,4,4
277225,4,4,2,3,3,3,4,4,4,4,2,3
334882,3,2,2,2,2,1,2,3,3,2,1,1
277714,2,2,1,0,2,1,2,0,3,2,1,1
65020,5,4,3,4,3,4,4,3,5,3,2,2
497906,5,4,2,4,3,3,3,3,4,3,2,2
444987,5,5,2,5,4,4,4,4,4,4,3,4
398973,4,3,2,3,3,3,3,3,3,3,1,2
268263,2,2,1,1,2,1,1,2,3,2,2,1
519243,4,4,2,3,3,4,3,3,3,3,1,2
307589,2,2,1,1,1,1,2,2,3,2,1,1
325318,4,5,2,4,3,4,4,4,4,4,3,3
165149,2,2,2,1,2,1,2,2,3,2,2,2
546856,5,4,2,4,3,4,4,3,4,3,2,2
323314,4,3,2,4,4,4,4,4,4,3,1,3
549235,5,4,2,2,3,3,3,3,3,3,1,2
275645,3,3,2,2,3,3,3,3,3,2,1,2
253990,4,4,2,3,3,4,4,3,4,3,2,3
415922,2,2,1,1,0,1,2,1,2,0,1,1
335414,3,4,2,3,3,3,1,2,3,2,2,2
458237,3,2,2,2,2,2,2,2,3,2,1,2
457906,4,3,2,4,3,3,4,4,3,3,1,3
337012,3,2,1,1,2,1,1,2,3,2,0,1
26196,4,3,2,4,3,3,4,3,3,3,1,2
4915,4,5,2,4,3,4,4,3,4,3,1,3
279165,1,0,0,0,1,1,1,0,1,1,1,0
483333,3,4,2,1,2,2,2,2,1,3,2,2
156174,2,2,1,1,2,1,2,1,2,2,1,1
324397,4,3,2,3,3,4,4,3,4,3,1,2
241240,4,4,2,3,3,3,3,3,3,3,2,2
253299,4,3,2,3,3,3,4,3,3,3,2,2
523121,5,5,2,4,4,4,4,4,4,3,4,3
356629,3,2,2,2,2,1,2,1,3,2,1,1
430479,5,5,2,4,4,4,4,4,3,3,1,3
569154,5,4,2,4,3,3,4,3,3,3,1,3
34708,1,2,1,1,0,1,3,1,2,2,1,1
322195,4,4,2,4,3,3,4,3,4,3,2,2
370686,3,2,2,3,2,3,1,1,2,2,0,1
201744,5,4,2,4,3,3,3,2,3,2,2,2
244731,5,5,3,5,4,4,4,4,5,4,3,4
595626,4,3,2,4,4,3,4,4,4,4,1,3
242867,5,5,2,4,4,4,4,3,4,3,4,4
377649,2,2,1,2,2,1,2,1,3,2,1,1
56641,4,4,2,4,3,3,4,3,4,3,2,3
514038,1,1,1,1,2,1,1,1,1,2,1,1
243257,4,3,2,4,3,3,4,3,3,3,1,2
29670,4,3,2,4,3,2,4,3,3,2,0,0
136609,3,2,2,2,2,1,3,1,2,2,1,1
570127,3,2,2,2,2,2,2,2,3,2,1,1
132469,2,2,1,2,2,1,2,2,1,2,1,1
122083,5,4,2,4,3,3,3,2,3,2,2,2
509806,5,5,2,4,3,3,4,4,3,2,1,3
384163,3,3,2,3,3,3,4,3,3,2,1,1
354587,4,4,2,5,3,4,4,4,5,4,3,3
136129,3,3,2,2,3,3,3,3,3,2,1,2
562187,2,2,2,1,2,1,2,2,3,2,1,2
595686,2,2,1,0,2,1,2,1,2,2,1,1
579684,5,5,2,4,3,4,4,4,5,4,2,3
194789,4,4,2,4,3,3,4,3,3,2,1,2
555171,3,3,2,3,2,3,1,2,3,2,0,2
198499,2,2,1,0,2,1,2,2,3,2,1,1
521358,5,5,3,5,4,4,4,4,5,4,3,3
53744,4,4,2,3,3,3,4,3,4,3,1,2
251896,4,4,2,3,3,4,3,3,4,3,2,2
251831,2,1,1,1,1,1,1,1,1,2,1,1
84154,3,2,2,2,2,1,3,1,3,2,1,1
388429,5,5,2,4,3,4,4,4,4,3,2,3
208225,4,5,2,4,3,3,4,4,4,4,3,3
353395,2,2,1,0,0,1,2,0,2,2,1,1
390022,3,3,2,1,2,1,2,1,3,2,1,1
267610,3,3,2,3,2,3,1,1,2,2,1,1
265412,5,4,2,4,3,3,3,3,4,3,2,2
463245,2,2,1,0,0,1,2,1,2,2,1,1
364822,5,4,2,4,3,3,3,3,3,3,1,3
220679,5,4,3,4,3,4,4,4,5,4,2,3
531048,1,2,1,2,2,1,3,1,2,2,1,1
333517,3,2,2,2,2,2,2,3,3,3,1,2
319966,2,2,1,1,2,1,1,1,2,2,1,1
192779,4,5,2,5,3,4,4,4,5,4,3,3
60670,3,3,2,2,2,2,2,2,3,2,1,2
504017,2,1,1,0,1,1,2,1,2,2,1,1
445485,5,5,2,4,4,4,4,4,4,3,1,3
388287,3,2,2,2,2,3,3,2,3,2,1,1
228849,4,5,2,4,4,4,4,4,4,3,1,3
330742,5,3,2,4,4,4,4,3,3,3,1,3
398129,5,5,2,4,3,4,4,3,4,3,2,3
446775,3,3,2,2,2,2,3,1,3,2,1,2
509720,3,3,2,4,3,3,3,3,3,3,1,2
227822,3,3,2,2,2,2,3,3,3,2,1,1
272330,4,5,2,4,4,4,4,4,4,4,3,3
11163,1,0,0,0,1,1,1,1,1,1,1,0
521416,4,5,2,5,3,4,4,4,5,4,3,3
188995,5,5,3,4,3,3,5,4,4,3,2,3
531051,5,4,2,4,3,3,3,3,3,3,1,2
98274,4,3,2,3,3,3,4,3,3,3,1,2
102315,5,4,3,4,3,3,4,3,5,3,2,2
202127,3,3,2,3,3,3,3,3,3,3,1,2
146879,3,2,2,1,2,2,2,2,3,2,1,2
403647,4,4,2,3,3,3,3,3,3,3,1,2
268545,4,5,2,3,3,3,4,4,4,4,3,3
62869,2,2,1,0,2,1,2,2,3,2,1,1
222829,5,5,3,4,3,4,4,4,4,3,2,3
583525,5,5,3,5,4,5,4,4,5,4,3,3
492026,3,2,2,3,2,3,1,2,3,2,1,1
87148,5,4,2,4,3,3,4,3,3,3,1,3
521443,5,5,3,5,4,4,4,4,5,4,3,4
324658,5,5,2,4,3,4,4,4,5,4,3,3
546416,4,2,2,3,2,3,3,3,3,2,2,1
169753,4,5,2,5,3,4,4,4,4,4,3,3
578053,4,4,2,2,3,3,3,3,3,3,2,2
492911,3,3,2,2,2,3,3,2,3,2,1,2
596088,5,4,2,4,3,4,4,4,4,3,1,3
353271,1,0,1,0,0,1,2,1,2,1,1,1
388210,4,3,2,4,3,4,4,3,3,3,1,3
463155,5,5,2,4,4,4,4,4,5,3,2,3
47562,4,3,2,4,3,3,4,4,4,3,1,3
163311,2,2,1,1,2,1,1,2,1,2,2,1
309116,2,1,1,1,1,1,2,1,1,2,1,1
85739,4,5,2,4,3,4,4,4,5,4,3,3
444197,5,5,2,4,4,3,4,4,4,3,1,3
105393,2,2,1,0,2,1,2,1,2,2,1,1
526031,3,3,2,3,3,3,3,3,3,3,1,2
463525,5,4,2,4,3,3,3,3,3,2,1,2
300393,2,2,1,1,2,1,2,2,3,2,1,1
106931,3,2,2,2,2,1,3,1,3,2,1,1
504062,4,3,2,4,4,4,4,4,4,3,1,3
155193,3,2,2,2,2,3,3,1,3,2,1,1
155564,5,5,2,4,4,4,4,4,4,3,1,3
64037,4,5,2,4,3,4,4,4,5,4,3,3
391240,2,1,1,1,0,1,1,2,1,2,1,1
144912,5,5,3,4,4,4,4,4,5,4,3,3
332055,2,2,1,2,2,1,2,0,2,2,1,1
568597,5,5,2,4,3,4,4,3,4,3,2,3
130869,5,4,3,4,3,3,4,4,4,3,2,2
570959,4,4,2,3,3,3,4,3,4,3,2,2
484952,4,4,2,3,3,3,3,3,1,3,2,2
12517,3,3,2,2,3,3,3,3,3,3,1,2
305754,4,5,2,4,3,3,4,4,4,3,1,3
167983,3,3,2,2,2,2,2,2,3,2,1,2
118035,5,4,2,4,3,3,3,2,3,3,4,2
175466,4,5,2,4,4,4,4,4,4,4,3,3
421742,5,5,2,4,4,4,4,4,4,3,1,3
519916,3,2,2,3,3,3,3,3,3,2,1,1
428000,5,4,3,4,3,4,5,3,5,3,2,2
418058,4,5,2,4,3,4,4,4,4,3,2,3
187658,4,4,2,4,3,2,4,3,3,2,0,2
216703,4,4,2,3,3,3,4,3,4,2,2,2
165159,5,4,3,4,3,4,4,3,4,3,2,2
227077,4,5,2,4,3,4,4,4,5,4,3,3
48124,3,3,2,2,2,2,3,3,3,2,1,2
340869,4,4,2,3,3,3,3,3,3,3,1,2
576305,5,5,3,5,4,4,4,4,5,4,3,4
482353,5,3,2,4,3,4,4,3,3,3,1,3
3591,3,4,2,1,2,2,2,2,1,3,2,2
271778,5,5,3,5,3,5,4,4,5,4,3,4
210783,1,1,1,1,1,1,1,1,1,2,1,1
569628,4,4,2,4,3,3,3,3,3,3,1,2
352041,3,3,2,3,3,3,3,3,3,2,1,2
153828,5,5,2,4,3,4,4,4,4,3,1,3
234475,3,3,2,1,2,2,2,2,3,2,1,1
463259,4,5,2,4,3,4,4,4,5,4,3,3
267221,4,5,2,4,3,4,4,4,5,4,3,3
133265,5,4,3,4,3,3,3,3,5,3,2,2
450624,5,4,2,4,3,3,4,2,3,2,0,2
587480,3,3,2,3,3,3,4,3,3,2,1,2
527968,4,5,2,5,3,4,4,4,5,4,3,3
221125,2,2,2,2,2,1,2,1,3,2,1,1
433324,5,5,2,5,3,4,4,4,5,4,3,3
75919,4,2,2,3,2,3,3,1,4,2,2,1
83572,3,3,2,2,3,3,3,3,3,2,1,2
11137,3,3,2,2,2,2,3,3,3,3,1,2
558581,3,3,2,2,2,3,3,3,3,2,1,1
478722,4,5,2,4,4,4,4,4,4,3,3,3
34088,4,3,2,4,3,4,4,3,3,3,1,3
338972,4,4,2,3,3,4,4,3,4,3,2,2
441104,5,5,2,4,4,4,4,4,4,3,1,3
438573,4,3,2,4,3,4,4,4,4,4,1,3
403993,5,4,3,4,3,3,4,3,5,3,2,2
268878,4,5,2,4,4,4,4,4,4,4,2,3
327363,2,2,1,0,2,0,2,1,2,2,1,1
255413,4,5,2,4,3,4,4,4,4,4,3,3
276956,4,5,2,4,3,4,4,3,4,3,1,3
564334,2,2,1,1,2,1,2,2,1,2,1,1
330821,5,5,3,5,4,4,4,4,5,4,3,3
385045,3,2,2,3,2,3,3,3,3,2,1,1
240815,5,5,3,4,4,4,4,4,4,4,3,3
383760,1,2,1,1,0,1,1,1,2,2,1,1
160535,4,5,2,4,4,4,4,4,4,4,3,3
440604,1,1,1,2,1,1,1,1,1,2,1,0
182790,3,3,2,2,2,3,3,3,3,2,1,1
50640,2,2,1,0,2,1,2,1,2,2,1,1
352896,4,3,2,3,3,3,4,3,4,4,2,2
342768,4,4,2,3,3,3,4,3,4,2,2,2
242539,3,3,2,3,2,3,3,3,3,2,1,1
570900,5,5,2,4,3,4,4,4,3,3,1,3
184112,3,3,2,2,2,2,2,1,3,2,0,1
17248,4,4,2,4,3,4,4,4,5,4,2,3
377464,4,3,2,2,3,3,3,3,3,2,1,2
5223,2,2,2,0,2,1,2,1,3,2,1,1
68245,5,5,2,5,4,4,4,4,5,4,3,3
152029,4,4,2,3,3,3,3,3,4,3,2,2
318944,4,4,2,4,3,4,4,3,4,3,1,3
477,3,2,2,2,2,1,2,1,2,2,1,1
582037,2,2,2,1,2,1,2,2,3,2,1,2
381547,2,2,2,2,2,1,2,1,3,2,1,1
183902,2,1,1,1,1,1,2,1,1,2,1,1
121649,4,4,2,3,3,3,4,3,3,2,1,2
519261,4,4,2,4,3,4,4,3,4,3,2,3
426719,4,3,2,3,3,3,4,3,3,2,1,1
194628,3,2,2,2,2,3,3,1,3,2,1,1
153189,5,5,2,4,4,4,4,4,4,3,1,3
552713,3,3,2,2,2,3,3,1,3,2,1,1
78777,4,4,2,4,3,3,3,3,3,3,1,2
42140,4,4,2,3,3,3,4,3,4,3,2,2
336805,4,3,2,3,2,3,3,3,3,2,1,1
265281,3,3,2,3,2,3,1,2,3,2,0,1
367908,5,4,2,2,3,3,3,2,3,2,1,2
59482,2,1,1,1,1,1,2,1,1,2,1,1
582267,1,0,1,1,1,1,1,1,0,1,1,0
119880,2,1,1,0,1,1,1,2,1,2,1,1
507813,5,5,3,4,4,4,4,4,4,3,4,3
286624,4,3,2,3,3,3,4,3,4,3,1,3
287041,3,3,2,3,2,3,3,2,3,2,1,1
221299,3,3,2,2,2,2,3,2,3,2,1,2
249623,5,4,2,4,3,3,3,3,4,3,2,2
174095,4,4,2,3,3,3,3,3,4,3,2,2
331665,3,2,2,3,2,3,3,0,3,2,1,1
299767,3,3,2,2,2,2,2,2,3,3,1,2
279654,4,4,2,4,3,4,4,4,4,3,2,3
45326,3,3,2,2,3,3,3,3,3,2,1,2
400423,3,2,1,1,2,3,1,1,2,2,1,1
103612,5,4,2,2,2,3,3,2,3,3,2,2
179215,4,3,2,3,3,3,3,3,3,3,1,2
329561,3,2,2,3,3,3,3,3,3,2,1,1
330129,4,5,2,4,3,3,4,4,4,4,2,3
483377,4,3,2,4,3,3,3,3,3,3,1,2
223824,3,2,2,3,2,3,3,0,3,2,2,1
586661,3,3,2,1,2,1,2,2,3,2,1,2
60663,5,5,2,5,4,4,4,4,4,4,3,3
518158,4,5,2,4,3,4,4,4,4,4,1,3
485332,4,2,2,3,3,3,3,3,3,2,2,1
569529,3,4,2,1,2,2,2,3,3,3,1,2
508925,3,3,2,3,2,3,3,3,3,2,1,2
465386,4,3,2,4,3,4,4,3,3,3,1,3
350824,3,3,2,2,2,2,2,3,3,2,1,2
142622,2,2,2,1,2,3,1,0,2,2,1,1
376329,4,4,2,4,3,4,4,3,4,3,2,2
505831,4,3,2,3,3,3,4,3,3,3,1,2
273931,4,5,2,5,3,4,4,4,4,4,3,3
250374,3,3,2,2,2,3,3,3,3,2,1,2
203851,5,4,2,3,3,3,4,3,3,2,0,2
273585,5,4,2,4,3,4,4,3,4,3,2,2
409628,5,5,2,4,3,3,4,4,4,3,1,3
368087,5,4,2,4,3,3,4,4,3,3,4,3
13970,3,3,2,2,2,3,3,3,3,2,1,2
95453,3,3,2,2,2,3,3,2,3,2,1,2
125765,3,3,2,2,2,2,2,2,3,2,1,2
414,4,4,4,5,2,3,4,5,4,3,2,4
257693,4,3,2,3,3,3,3,3,3,2,1,2
79017,5,5,2,4,3,3,4,3,4,3,1,3
46319,3,3,2,3,2,3,3,3,2,2,1,1
593710,2,2,1,1,2,1,2,1,3,2,1,1
222234,5,4,2,4,3,3,3,3,3,3,2,3
314774,5,4,2,4,3,3,1,2,1,2,2,2
147189,5,5,2,4,3,4,4,4,4,3,1,3
41225,2,2,2,2,2,1,2,1,2,2,1,1
328831,5,4,2,4,3,3,3,3,3,3,1,2
49269,5,5,3,4,3,4,5,4,5,4,2,2
155805,4,4,2,3,3,4,4,3,4,3,1,2
229453,1,2,1,2,2,1,1,1,1,2,1,1
29341,3,2,2,2,2,3,3,1,3,2,1,1
120796,2,2,2,1,2,1,2,2,3,2,1,1
530212,4,3,2,3,3,3,4,3,4,3,1,2
325816,4,4,3,4,3,4,4,4,5,4,2,3
498328,5,4,3,4,3,4,5,3,5,3,2,2
159773,4,4,2,4,3,4,4,4,4,3,2,3
534364,4,4,2,3,3,4,4,3,4,3,2,3
518833,4,4,2,3,3,3,4,4,4,4,2,3
326908,4,3,2,4,4,4,4,3,3,3,1,3
229883,3,2,2,2,2,2,2,2,3,2,1,1
514417,3,2,2,2,2,3,3,1,2,2,1,1
285929,3,2,2,1,2,2,2,2,3,2,2,2
130589,4,5,2,4,3,4,4,4,4,4,2,3
480258,4,4,2,3,3,3,4,3,3,2,1,2
2178,3,3,2,2,3,2,3,3,3,3,1,2
441531,4,4,2,3,3,3,3,3,3,2,1,2
589188,3,2,2,2,2,3,3,0,3,2,1,1
343798,5,5,2,4,4,4,4,4,4,4,1,3
302370,4,5,2,5,3,4,4,4,4,4,3,3
16054,3,3,2,2,3,3,3,3,3,2,1,2
154252,4,5,2,5,3,4,4,4,5,4,3,3
516545,3,2,2,2,2,1,3,1,3,2,1,1
446449,5,4,2,4,3,4,4,3,3,3,1,3
371152,5,4,3,4,3,4,5,3,5,3,2,2
181423,4,3,2,2,2,3,3,3,3,3,1,2
234008,5,5,2,4,4,4,4,4,4,3,1,4
140914,4,5,2,5,4,5,4,4,5,4,3,3
213657,2,1,1,0,0,1,2,1,2,1,1,1
4623,4,5,2,5,4,4,4,4,5,4,3,3
322539,4,5,2,4,4,4,4,4,4,4,1,3
177419,3,2,2,3,2,3,3,1,3,2,1,1
573669,4,3,2,3,3,3,4,3,4,3,2,2
555309,2,2,1,1,2,0,1,1,2,2,1,1
425918,4,4,2,4,3,4,4,4,4,4,3,3
80153,1,2,1,0,2,0,1,1,2,2,1,1
289826,3,3,2,2,2,2,3,2,3,2,1,2
250467,3,2,2,1,2,2,2,2,3,2,1,1
147551,2,2,1,1,2,1,1,1,2,2,1,1
134414,4,4,2,4,3,3,3,3,4,3,2,2
447262,3,3,2,2,2,3,3,3,3,2,1,2
120048,4,3,2,2,2,3,3,3,3,2,1,2
512466,3,3,2,2,2,2,2,3,3,2,1,1
280627,2,2,1,2,2,1,3,1,1,2,1,1
170024,4,4,2,3,3,3,4,4,4,4,3,3
172175,4,4,2,4,3,4,4,4,4,4,2,3
277029,2,1,1,1,0,1,1,1,2,2,1,1
564055,5,5,2,4,3,4,4,4,4,3,2,3
166823,4,5,3,5,4,5,4,4,5,4,3,3
254688,2,2,1,2,2,1,2,1,3,2,1,1
275625,4,3,2,3,3,3,3,3,3,3,1,3
347621,2,2,1,0,2,1,2,2,3,2,1,1
32042,5,4,2,4,3,3,3,3,4,3,2,2
392759,4,3,2,3,3,3,4,4,4,4,1,3
458985,3,2,1,1,2,3,1,2,3,2,2,1
207447,5,5,3,5,3,4,4,4,5,4,3,3
33872,3,3,2,2,2,3,3,2,3,2,1,2
456332,5,5,3,5,4,4,4,4,5,4,3,3
480726,5,5,2,4,4,4,4,4,4,3,1,3
38726,3,2,2,3,3,3,3,3,3,2,1,1
592568,4,4,2,3,3,4,4,3,5,3,2,2
361830,2,2,1,0,0,1,2,1,2,2,1,1
370559,5,5,2,4,3,3,4,3,4,3,3,3
575185,4,4,2,2,3,2,3,2,3,2,2,2
465562,4,4,2,3,3,4,4,3,4,3,2,2
553651,3,3,2,3,3,3,3,3,3,3,1,2
252879,1,2,1,2,2,0,3,1,2,2,1,1
212274,3,3,2,3,3,3,3,3,3,2,1,1
419458,5,5,3,4,3,4,5,4,5,4,2,3
300272,5,4,3,4,3,3,5,2,4,2,2,2
271609,4,4,2,4,3,3,3,3,4,3,2,2
589687,2,2,2,1,2,1,2,1,3,2,1,1
310165,4,5,2,4,4,4,4,4,4,4,3,3
572123,5,3,2,4,3,3,3,3,3,2,1,2
478978,3,3,2,3,2,3,3,3,3,2,1,1
310023,4,2,2,3,3,3,4,3,4,2,2,2
149077,5,5,3,5,4,4,4,4,5,4,4,4
455513,3,2,2,2,2,0,2,2,3,2,1,1
470077,5,4,2,4,3,4,4,3,5,3,2,2
238213,3,3,2,2,3,3,3,2,3,2,1,2
120956,4,3,2,3,3,3,3,3,3,2,1,2
317472,4,4,2,4,3,4,4,4,4,3,2,3
212758,2,2,1,1,0,1,2,1,2,2,1,1
183509,4,3,2,3,3,3,3,3,3,3,1,2
520054,2,2,1,1,2,1,2,1,3,2,1,1
24034,1,2,1,1,2,0,1,1,2,2,1,1
293567,4,3,2,3,3,3,3,3,3,3,1,2
462392,4,4,2,4,3,3,3,3,3,3,1,2
380003,4,4,2,4,3,4,4,3,4,3,2,2
217232,4,4,2,4,3,4,4,4,4,3,1,3
67114,5,4,2,4,3,4,4,3,4,3,2,2
69547,5,4,2,4,3,3,4,3,4,3,4,3
200470,3,3,2,2,2,3,3,3,3,2,1,2
160473,5,4,3,4,3,4,4,4,5,3,2,3
101224,4,4,2,4,3,4,4,4,4,3,2,3
238018,3,4,2,2,3,3,3,3,3,3,1,2
163385,4,3,2,3,3,3,4,3,4,3,1,3
5747,1,1,1,1,0,1,2,1,1,2,1,1
562811,5,5,2,4,3,4,4,4,4,4,3,3
542808,4,3,2,3,3,3,3,3,3,2,1,2
371451,5,4,3,3,3,3,1,2,4,2,2,2
183791,5,4,2,2,2,3,1,2,3,2,0,2
12641,5,3,2,4,3,3,3,3,3,3,1,2
385777,2,2,1,0,0,1,2,1,2,2,1,1
79035,5,5,2,4,3,3,4,4,3,3,1,3
81289,4,4,2,2,2,3,3,2,3,3,2,2
378418,4,2,1,2,2,0,0,1,2,2,1,1
328603,4,4,2,3,3,3,3,3,3,3,2,2
365121,4,4,2,3,3,3,3,3,4,3,2,2
101493,3,2,2,3,2,1,3,3,1,2,2,1
82396,3,3,2,2,2,3,3,3,3,2,1,2
248392,4,5,2,4,4,4,4,4,4,3,1,3
497637,4,3,2,4,3,3,4,3,3,3,1,3
108512,2,2,1,0,2,2,2,2,1,2,2,1
164081,4,3,2,3,3,3,4,3,3,2,1,2
356681,5,4,2,4,3,3,4,3,4,3,2,3
367836,4,3,2,3,3,4,4,3,4,3,1,2
225128,2,2,1,1,0,1,1,1,2,2,1,1
240053,5,4,3,4,3,4,4,4,4,3,2,2
381634,3,3,2,2,2,2,2,2,3,2,1,2
523017,4,4,2,3,3,3,3,2,3,3,2,2
389670,3,3,2,3,3,3,4,3,3,2,1,1
510704,3,3,2,3,3,3,3,3,3,2,1,2
134729,3,4,2,1,2,2,2,2,3,2,0,2
110735,3,4,2,1,2,2,2,2,1,2,2,2
54301,2,2,1,1,2,1,2,1,2,2,1,1
20589,2,2,2,1,2,1,2,1,3,2,1,1
405226,3,3,2,2,2,3,3,3,3,2,1,2
301889,4,5,2,4,4,4,4,4,4,3,1,3
159235,3,3,2,2,3,3,3,3,3,3,1,2
373660,4,3,2,4,3,4,4,3,3,3,1,3
445977,2,2,1,2,2,1,3,1,1,2,2,1
520218,4,4,2,3,3,3,3,3,3,3,2,2
7600,1,2,1,3,2,0,1,1,2,2,1,1
343658,4,3,2,4,3,4,4,3,3,3,1,3
393283,4,4,2,3,3,3,4,4,4,4,2,2
286165,5,5,3,4,3,4,4,4,4,4,2,3
323852,5,4,3,4,3,4,4,4,5,3,2,3
101602,5,5,2,4,3,4,4,3,4,3,2,3
353016,5,4,2,4,3,4,4,4,4,3,1,3
388545,1,2,1,1,2,1,1,1,2,2,1,1
186751,4,3,2,3,3,3,4,3,4,3,1,3
431707,4,5,2,4,4,4,4,4,4,4,3,3
288748,4,4,2,3,3,3,4,3,4,3,2,2
385117,3,2,2,3,3,3,3,3,3,2,1,1
56260,4,5,2,4,4,4,4,4,4,4,3,3
553327,3,4,2,2,2,2,3,2,3,2,2,2
594415,5,4,2,4,3,3,3,3,3,3,4,3
111868,4,5,2,5,3,4,4,4,5,4,3,3
581166,3,3,2,3,3,3,3,3,3,2,1,2
554435,4,3,2,3,3,3,4,3,3,2,1,2
426471,5,5,2,4,3,4,4,4,5,4,3,3
111150,4,3,2,4,3,3,4,3,4,3,1,3
334704,4,3,2,3,3,3,4,3,3,2,1,2
344167,3,2,2,2,2,0,3,1,2,2,1,1
466776,2,2,1,2,2,1,2,1,3,2,1,1
222475,5,4,3,4,3,4,4,3,4,3,2,2
289890,3,2,2,3,2,3,3,3,3,2,1,1
84042,3,3,2,2,2,3,3,3,3,2,1,2
458156,3,3,2,3,3,3,3,3,3,2,1,2
363816,3,3,2,2,2,2,2,1,3,2,1,1
175483,4,3,2,4,4,3,4,3,3,3,1,3
532764,2,2,1,1,2,1,2,1,3,2,1,1
434448,4,4,2,4,3,4,4,3,4,3,2,3
