index,id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
229,121627854,6,5,0,3,3,4,3,3,5,4,2,3
230,84105104,4,4,3,3,0,0,0,0,0,0,0,0
231,84321681,3,2,3,2,1,3,4,1,4,2,1,2
232,120908634,5,3,2,3,3,5,4,1,4,5,1,2
233,84287641,5,3,2,1,2,3,3,3,3,1,2,1
234,170732666,1,1,0,0,2,1,3,2,5,3,1,2
235,84064579,2,2,1,3,2,3,1,3,2,2,3,1
236,84120575,4,5,3,3,3,3,4,2,4,2,2,2
237,171337298,1,0,0,0,0,0,0,0,0,0,0,0
238,122754825,4,5,3,3,3,2,2,2,3,2,3,2
239,171411099,6,5,4,2,3,4,4,3,3,4,3,2
240,123019122,5,4,3,4,3,3,4,5,5,3,3,0
241,121052359,5,4,2,3,2,3,2,4,3,2,0,0
242,193578799,5,4,3,4,4,2,4,4,3,3,2,3
243,85065724,4,5,3,4,4,3,3,2,5,3,2,4
244,171226266,2,2,2,1,3,2,2,2,2,2,1,2
245,84321059,4,2,3,2,3,1,1,2,1,2,3,3
246,117493331,3,2,1,2,2,2,3,4,2,3,2,2
247,176565521,6,3,2,4,2,4,3,2,4,3,1,1
248,170378620,3,3,2,3,1,3,3,3,2,2,2,2
249,86071126,1,4,1,3,4,5,4,4,4,3,0,2
250,117688034,3,4,3,4,2,3,3,5,4,4,0,2
251,171791304,3,3,2,2,4,3,2,4,3,1,0,2
252,122649839,5,4,3,4,4,3,4,4,4,5,4,3
253,170954312,5,3,3,5,2,4,3,3,3,3,1,3
254,170424193,2,2,1,2,3,1,4,2,3,3,1,2
255,121655388,5,4,3,2,4,1,3,3,4,3,1,2
256,84402783,6,3,3,5,3,4,5,2,4,2,1,2
257,85757109,1,4,2,2,2,1,4,3,3,3,1,1
258,170860151,5,4,1,3,4,0,0,0,0,0,0,0
259,120881627,4,5,2,5,3,5,4,4,4,3,1,3
260,84377214,4,4,3,4,3,4,4,4,4,3,2,2
261,171671685,4,2,3,2,4,4,3,4,5,3,2,3
262,122154893,4,3,2,4,2,4,3,3,5,1,4,4
263,122941481,4,5,3,2,3,3,4,3,5,3,2,2
264,121184087,5,4,3,5,5,4,5,4,4,3,4,2
265,171348940,5,5,1,4,4,5,4,4,5,4,3,4
266,84202232,4,5,2,4,4,1,3,5,5,5,2,2
267,171441231,4,3,0,2,2,3,0,2,2,1,2,3
268,171414788,5,4,3,4,4,3,3,3,3,2,1,2
269,170776233,4,4,4,5,4,3,5,4,5,2,2,3
270,170750099,2,4,1,1,0,1,2,2,3,1,0,2
271,195391459,2,4,2,0,1,2,2,1,3,3,2,3
272,85116009,2,3,1,3,2,2,4,1,2,1,3,1
273,122955682,1,4,1,2,3,2,2,1,0,0,0,0
274,171342687,5,4,3,4,4,3,4,3,4,4,1,4
275,171418028,5,5,4,4,3,5,3,4,5,4,2,4
276,84325220,3,4,2,4,3,2,5,3,5,4,3,0
277,121626333,5,3,3,4,3,2,4,3,4,2,1,2
278,84058641,4,5,0,4,4,3,4,3,4,4,1,3
279,86918436,5,4,4,4,3,3,4,4,2,5,3,2
280,173251875,3,3,2,3,3,3,1,5,4,3,3,0
281,177059073,6,5,2,5,3,3,4,4,4,4,1,2
282,121609272,4,3,3,4,2,3,5,1,5,1,2,2
283,85247322,3,3,3,3,3,2,4,3,3,2,1,2
284,122869483,3,2,2,1,3,3,3,2,3,4,1,2
285,171373513,5,4,2,4,3,4,3,5,3,3,1,2
286,171380976,3,3,1,2,2,4,1,2,2,1,3,0
287,170552362,3,2,1,1,2,2,1,2,0,2,2,0
288,86523558,3,2,1,3,4,3,4,5,1,4,2,2
289,122906867,5,3,2,4,3,4,4,4,5,3,1,3
290,84283472,3,2,1,2,2,1,5,3,4,2,1,1
291,123018236,1,2,1,1,1,3,2,3,4,3,2,3
292,171256584,3,5,3,4,4,2,5,1,4,4,1,1
293,122900007,4,2,3,1,3,1,1,2,5,2,2,3
294,121655440,5,4,2,5,3,2,3,4,4,3,3,3
295,122743690,4,4,3,2,2,4,3,4,4,4,2,3
296,171209146,4,3,2,2,2,3,5,1,3,4,0,3
297,122717005,3,5,5,2,3,2,3,2,3,3,4,3
298,84134797,4,3,2,1,2,0,1,2,3,1,1,1
299,122883235,2,2,1,1,2,0,2,3,2,1,1,2
300,84059629,4,1,1,2,2,3,5,4,2,2,1,3
301,123012399,3,4,2,5,3,4,4,2,2,5,1,4
302,122897796,5,5,2,4,3,3,4,4,4,5,1,2
303,171221488,4,2,1,1,0,2,0,0,3,2,0,1
304,170824342,3,3,3,5,2,4,3,1,2,1,1,2
305,122915331,4,3,1,2,3,3,4,4,3,2,1,2
306,172119251,6,5,1,2,4,3,4,5,5,3,3,2
307,84130448,2,2,3,2,1,3,3,1,3,0,1,2
308,85422450,5,4,2,3,2,2,5,4,4,4,1,2
309,171184923,3,4,1,4,3,1,3,5,2,2,2,3
310,171561824,2,3,2,4,3,3,4,4,3,4,2,1
311,122990251,5,3,2,3,4,4,5,3,4,5,1,2
312,172532799,4,5,2,3,2,3,4,1,4,2,1,1
313,170349936,3,4,2,3,4,5,5,3,5,5,3,3
314,121121757,5,4,2,5,3,4,4,5,4,4,3,2
315,170938634,6,3,2,5,4,3,5,4,4,4,2,3
316,121650717,2,1,2,3,2,3,4,3,5,4,1,1
317,117496282,4,3,4,5,4,3,4,4,3,4,1,4
318,170363528,4,3,2,3,5,4,5,3,4,3,4,3
319,171414027,4,3,2,3,3,4,4,3,3,3,2,3
320,171443086,5,5,3,4,3,3,5,5,3,3,2,2
321,171436214,0,2,0,3,0,3,3,0,3,2,3,0
322,170385773,0,1,1,0,1,2,2,3,0,2,2,0
323,122171668,5,5,3,5,4,3,4,3,3,4,2,2
324,172641997,5,4,1,3,4,5,3,4,5,4,1,3
325,85708355,4,3,2,4,4,3,2,5,4,4,3,2
326,171241324,5,5,3,3,4,4,4,3,5,2,1,2
327,121689816,5,4,3,4,3,2,3,4,5,3,4,2
328,85020545,4,3,3,5,5,4,5,4,2,3,1,3
329,122903036,5,3,1,3,3,4,5,5,2,3,2,3
330,171432896,4,5,4,4,4,4,3,4,4,4,1,3
331,193016023,5,3,2,4,2,2,3,2,4,3,1,2
332,171407915,6,5,3,3,5,3,4,4,4,4,3,3
333,170474465,6,5,3,5,3,5,4,4,4,4,3,3
334,123024433,3,5,4,2,2,3,4,2,4,4,2,2
335,122715923,2,3,2,2,2,1,4,2,3,1,1,2
336,171370609,5,4,2,4,3,3,3,1,1,3,2,2
337,171625242,2,2,3,3,2,2,4,3,3,4,0,1
338,170807983,2,3,2,1,3,1,4,3,4,0,1,3
339,170776514,4,3,3,0,4,2,1,1,1,3,1,0
340,171177495,4,5,1,4,4,4,4,3,4,5,3,3
341,171474979,4,5,2,5,2,2,5,5,3,4,3,3
342,171860780,2,1,2,1,5,2,2,0,2,3,3,2
343,121027793,3,5,2,4,5,4,3,4,3,2,3,2
344,121656521,4,4,2,5,4,5,3,3,5,4,1,3
345,123573040,4,4,1,3,4,3,5,5,3,2,3,3
346,171447190,4,4,2,3,0,3,1,4,2,2,1,2
347,121656904,3,4,3,3,2,2,3,2,4,3,2,2
348,170331672,4,3,2,4,2,1,4,2,3,3,2,1
349,121520088,6,5,3,5,3,3,4,4,5,4,2,4
350,121674081,3,5,1,4,4,4,4,4,4,5,0,3
351,84794597,5,4,2,2,4,4,3,3,2,0,0,2
352,123739809,3,2,1,0,0,1,2,1,3,1,0,0
353,122850491,3,2,2,1,2,2,3,0,3,3,3,3
354,122183037,3,3,2,4,2,2,4,2,5,2,0,0
355,122677363,6,4,1,2,3,3,3,5,4,3,2,3
356,171018176,4,4,2,3,3,3,3,2,3,3,2,4
357,121628650,5,5,2,4,3,4,4,2,3,3,1,2
358,171583197,4,5,3,4,4,2,3,4,4,4,1,1
359,84127557,4,4,2,3,3,4,3,3,3,2,1,2
360,124347154,5,4,3,4,2,2,5,2,1,1,1,3
361,171401685,5,4,2,4,3,4,4,4,4,3,2,1
362,123307197,6,3,2,4,2,3,3,3,4,2,3,2
363,172789278,6,4,4,5,3,3,3,3,3,3,2,3
364,87543239,4,2,2,1,3,2,2,1,2,4,3,1
365,175368971,4,4,3,3,1,4,4,3,4,3,2,2
366,171341835,6,5,2,4,4,4,3,3,5,4,1,2
367,171561454,4,4,0,3,3,3,3,4,2,3,2,2
368,173377496,5,3,2,4,4,4,3,3,3,4,2,3
369,121304372,5,4,4,4,4,4,5,5,4,4,3,1
370,170816150,3,3,3,1,5,2,3,2,3,2,1,1
371,84060916,5,5,3,3,2,4,3,3,5,2,1,4
372,122677946,5,4,3,4,3,3,5,3,4,3,2,3
373,122868118,4,1,2,4,3,2,5,4,3,3,2,1
374,84060904,4,5,2,4,4,4,3,4,4,3,3,3
375,84102460,4,4,3,5,3,3,5,4,4,3,2,2
376,121722659,5,5,0,4,3,5,4,4,2,2,3,4
377,122771403,4,1,3,3,4,3,3,4,5,3,2,1
378,193988203,3,3,3,3,3,3,4,3,5,3,3,3
379,171336480,5,5,1,5,5,3,4,4,5,4,2,2
380,122901083,4,4,3,5,3,4,4,4,4,5,3,3
